country	consumption 2000	electricity 2000	Mortality 2000	consumption 2001	electricity 2001	Mortality 2001	consumption 2002	electricity 2002	Mortality 2002	consumption 2003	electricity 2003	Mortality 2003	consumption 2004	electricity 2004	Mortality 2004	consumption 2005	electricity 2005	Mortality 2005	consumption 2006	electricity 2006	Mortality 2006	consumption 2007	electricity 2007	Mortality 2007	consumption 2008	electricity 2008	Mortality 2008	consumption 2009	electricity 2009	Mortality 2009	consumption 2010	electricity 2010	Mortality 2010																							
Israel	0.81131	6323.103832	6.9	0.87409	6400.217425	6.6	0.84092	6502.739726	6.4	0.85309	6597.306307	6.1	0.8555	6525.921574	5.8	0.87197	6572.199535	5.6	0.88416	6711.229567	5.3	0.91127	7003.24508	5.1	0.83252	7133.045096	4.9	0.87707	6607.619964	4.7	0.94537	6856.078493	4.5																							
Italy	7.58182	5299.87404	5.27	7.62301	5406.195954	5.49	7.65325	5530.184487	5.2	7.90469	5623.920205	4.41	8.16668	5640.090272	4.4	8.07918	5668.738483	4.21	8.00936	5754.519409	4.01	8.03926	5712.730089	3.86	7.83857	5661.184427	3.9	7.35131	5270.539626	4	7.62586	5384.17286	3.9																							
Jamaica	0.14637	2333.755588	25.5	0.14699	2338.769432	24.8	0.15054	2412.993896	24.3	0.15637	2485.432456	23.4	0.15835	2458.58762	22.6	0.15258	2478.116511	22.1	0.17143	2453.156096	21.4	0.18033	2551.760221	20.7	0.17854	1989.803513	20.1	0.12778	1904.58525	19.6	0.12696	1222.292122	19																							
Japan	22.41466	7973.508316	4.47	22.20305	7822.814179	4.21	22.11821	7915.665581	4.08	22.60477	7815.311859	3.95	23.242	8050.72753	3.8	23.1348	8212.689692	3.73	22.86986	8252.950938	3.64	23.04962	8489.650409	3.49	21.89256	8075.210463	3.44	20.69509	7838.005685	3.17	21.77269	8394.12434	3.2																							
Jordan	0.22545	1376.96717	28	0.2202	1404.778851	27.2	0.23062	1479.356888	26.6	0.25148	1517.621998	25.7	0.27821	1637.05104	25	0.29423	1681.603992	24.4	0.30837	1816.687737	23.7	0.30975	1971.741434	23.2	0.30782	2093.312597	22.6	0.31309	2111.91885	21.8	0.32667	2225.566397	21.1																							
Kazakhstan	1.83351	3169.523341	42.3	1.93523	3512.035501	40.7	1.99277	3558.327279	39.3	1.82516	3768.792568	37.9	2.18332	3859.192816	36.4	2.23411	4012.073919	35.2	2.37702	4261.212294	33.7	2.38347	4487.28613	32.8	2.36741	4689.167072	31.3	2.14318	4447.142293	30.1	2.25517	4727.601739	29.2																							
Kenya	0.14224	112.7866425	113.1	0.14413	122.6455041	109.2	0.14934	121.8724664	105.5	0.16118	127.4947973	101.9	0.16875	134.8330433	98.3	0.18298	136.994471	94.1	0.20102	145.1795941	90.2	0.2022	148.9119212	86.5	0.18836	148.6396533	82.5	0.19759	147.3055675	79.4	0.21986	156.025217	76.1																							
Kuwait	0.90963	14822.34517	12.7	0.88264	15190.17829	12.5	0.88761	15635.20622	12.4	0.96046	16656.11867	12.2	1.00698	16770.15371	12	1.14679	17123.12733	11.8	1.13313	17933.68407	11.7	1.12475	17485.77713	11.5	1.16169	17750.69447	11.3	1.21498	17609.96355	11.2	1.28347	18319.66009	11																							
Latvia	0.15412	2077.552113	14.928	0.16092	2196.592712	15.888	0.154	2279.117977	15.072	0.16071	2453.832598	14.94	0.17574	2551.431824	13.236	0.18543	2702.876577	11.688	0.18448	2876.376561	11.016	0.17261	3063.573657	12.348	0.16337	3087.250573	9.612	0.16488	2874.712728	10.548	0.16082	3025.89361	8.9																							
Lebanon	0.23433	2610.406514	19	0.22499	2633.251492	17.8	0.22859	2772.131036	16.6	0.23803	2818.504043	15.6	0.22844	2784.613068	14.6	0.21854	2788.704034	13.7	0.19424	2686.300308	12.8	0.17922	2772.032605	12	0.18233	2937.184944	11.2	0.28324	3130.100381	10.6	0.27604	3568.93053	9.9																							
Libya	0.62988	2275.58209	27.1	0.66709	2302.998268	25.9	0.69699	2420.002013	24.7	0.68428	2453.139849	23.6	0.75794	2556.07976	22.4	0.77201	3412.997085	21.5	0.73147	3779.095711	20.5	0.75824	3965.264792	19.5	0.73771	4001.22284	18.7	0.77865	4170.108358	17.7	0.83996	4269.790997	17																							
Lithuania	0.2973	2516.905098	12.177	0.31679	2687.795221	11.33	0.34054	2827.558971	10.956	0.35264	3052.800862	9.625	0.35316	3142.399663	10.659	0.35257	3101.364143	9.713	0.35277	3230.623185	9.537	0.38586	3411.819702	8.008	0.37472	3555.86393	7.26	0.32429	3430.79831	6.809	0.26217	3270.638489	5.918																							
Luxembourg	0.15384	15668.11827	5.96	0.16143	15618.59464	7.56	0.16988	15978.03552	6.41	0.17893	16258.88449	5.26	0.19745	16300.11242	4.6	0.20597	15641.99691	3.39	0.20346	16454.48833	3.27	0.1993	16350.23844	3.29	0.19594	15935.74133	3.05	0.18552	14423.95582	3.57	0.19874	16833.90768	3.3																							
Macedonia, FYR	0.11505	2932.669551	16.3	0.10637	2838.188063	15.6	0.1066	2791.932768	14.9	0.1156	3148.209973	14.3	0.11805	3180.460385	13.8	0.11917	3411.005005	13.3	0.11709	3485.405202	12.7	0.11407	3652.482858	12	0.11367	3702.758165	11.4	0.1128	3441.806056	10.8	0.12055	3590.766213	10.2																							
Malaysia	1.97785	2721.172224	10.6	2.10768	2728.939465	10.1	2.19218	2785.237625	9.7	2.26849	2872.644511	9.3	2.26098	2937.736194	8.9	2.28943	2828.632885	8.5	2.36515	3021.256786	8.1	2.59795	3232.876453	7.8	2.67668	3254.307831	7.4	2.78314	3911.855695	7.1	2.98849	4117.352558	6.8																							
Malta	0.03919	4410.496037	7.8	0.0329	4292.315051	7.5	0.03939	4500.3523	7.3	0.03925	4872.272205	7.2	0.03973	4797.292583	7	0.04122	4912.873263	6.8	0.03904	4884.254247	6.6	0.04138	4845.373426	6.4	0.04255	4806.408545	6.3	0.08783	4417.970439	6.2	0.10438	4151.492205	6.1																							
Mexico	6.33194	1766.393729	29.1	6.29111	1794.748053	27.5	6.28657	1804.058343	25.9	6.41137	1768.753186	24.5	6.42585	1870.997773	23.2	6.73068	1927.063862	21.9	7.29561	1939.328583	20.8	7.5267	1973.681687	19.6	7.26255	1982.813298	18.6	6.94764	1942.840798	17.6	7.28397	1990.459664	16.6																							
Moldova	0.11014	1004.784058	23.8	0.10728	1123.239689	22.9	0.11896	1184.358301	22	0.1305	1365.396863	21.1	0.12268	1435.653372	20.5	0.1293	1534.275594	19.6	0.13827	1615.665231	19.1	0.12851	1342.781355	18.5	0.13351	1328.251506	17.7	0.11866	996.745852	16.8	0.1186	1049.111442	16.6																							
Mongolia	0.06313	1069.931645	63.4	0.06517	1089.334015	59.4	0.06955	1116.780873	55.6	0.06646	1160.883108	52.2	0.07102	1222.130221	48.8	0.07177	1278.196581	45.7	0.08214	1326.551975	42.8	0.08515	1367.493882	40.1	0.09026	1458.683384	37.6	0.09005	1410.575592	34.9	0.09273	1530.115555	33																							
Morocco	0.44701	490.0456482	52.7	0.4813	524.8684447	50.5	0.48821	536.0235277	48.5	0.49124	581.8883481	46.5	0.4923	612.9548179	44.5	0.49773	635.7824189	42.6	0.51652	690.4743014	40.7	0.52846	720.8041198	39.1	0.59814	742.2069468	37.4	0.64331	754.397316	35.7	0.67296	781.0922409	34.3																							
